payment_id,order_id,payment_method,payment_status
104,104,Bank Transfer,Refunded
105,105,Card,Pending
106,106,Bank Transfer,Refunded
107,107,Card,Paid
108,108,Cash,Paid
109,109,Cash,Paid
110,110,Card,Pending
111,111,Card,Paid
112,112,Bank Transfer,Paid
113,113,Card,Paid
114,114,Card,Paid
115,115,Bank Transfer,Paid
116,116,Bank Transfer,Refunded
117,117,Cash,Pending
118,118,Card,Paid
119,119,Card,Paid
120,120,Cash,Paid
121,121,Card,Refunded
122,122,Bank Transfer,Pending
123,123,Card,Paid
124,124,Bank Transfer,Paid
125,125,Card,Paid
126,126,Cash,Paid
127,127,Bank Transfer,Pending
128,128,Bank Transfer,Paid
129,129,Cash,Paid
130,130,Bank Transfer,Paid
131,131,Cash,Paid
132,132,Card,Paid
133,133,Cash,Paid
134,134,Card,Pending
135,135,Bank Transfer,Paid
136,136,Bank Transfer,Paid
137,137,Cash,Paid
138,138,Card,Paid
139,139,Cash,Paid
140,140,Bank Transfer,Paid
141,141,Bank Transfer,Pending
142,142,Card,Pending
143,143,Card,Paid
144,144,Bank Transfer,Paid
145,145,Bank Transfer,Paid
146,146,Card,Refunded
147,147,Cash,Paid
148,148,Cash,Paid
149,149,Card,Paid
150,150,Card,Paid
151,151,Card,Paid
152,152,Bank Transfer,Paid
153,153,Cash,Paid
154,154,Card,Paid
155,155,Cash,Paid
156,156,Bank Transfer,Paid
157,157,Bank Transfer,Refunded
158,158,Card,Paid
159,159,Card,Pending
160,160,Card,Paid
161,161,Card,Paid
162,162,Cash,Paid
163,163,Card,Paid
164,164,Cash,Paid
165,165,Bank Transfer,Paid
166,166,Bank Transfer,Paid
167,167,Cash,Refunded
168,168,Cash,Pending
169,169,Card,Paid
170,170,Card,Paid
171,171,Card,Pending
172,172,Bank Transfer,Refunded
173,173,Cash,Paid
174,174,Cash,Paid
175,175,Cash,Paid
176,176,Cash,Paid
177,177,Card,Paid
178,178,Card,Paid
179,179,Cash,Paid
180,180,Card,Paid
181,181,Bank Transfer,Paid
182,182,Card,Pending
183,183,Bank Transfer,Paid
184,184,Bank Transfer,Paid
185,185,Cash,Paid
186,186,Cash,Refunded
187,187,Card,Paid
188,188,Cash,Paid
189,189,Bank Transfer,Paid
190,190,Bank Transfer,Pending
191,191,Card,Paid
192,192,Bank Transfer,Refunded
193,193,Cash,Paid
194,194,Card,Paid
195,195,Card,Paid
196,196,Card,Paid
197,197,Cash,Paid
198,198,Bank Transfer,Paid
199,199,Cash,Paid
200,200,Card,Paid
201,201,Bank Transfer,Paid
202,202,Card,Paid
203,203,Cash,Paid
204,204,Card,Refunded
205,205,Cash,Paid
206,206,Card,Paid
207,207,Card,Paid
208,208,Card,Paid
209,209,Cash,Paid
210,210,Cash,Pending
211,211,Cash,Paid
212,212,Cash,Paid
213,213,Cash,Paid
214,214,Bank Transfer,Paid
215,215,Card,Refunded
216,216,Cash,Paid
217,217,Bank Transfer,Paid
218,218,Bank Transfer,Refunded
219,219,Card,Refunded
220,220,Card,Paid
221,221,Card,Paid
222,222,Cash,Paid
223,223,Card,Pending
224,224,Card,Paid
225,225,Card,Pending
226,226,Bank Transfer,Paid
227,227,Cash,Paid
228,228,Card,Paid
229,229,Bank Transfer,Paid
230,230,Cash,Paid
231,231,Card,Paid
232,232,Bank Transfer,Paid
233,233,Cash,Paid
234,234,Card,Paid
235,235,Card,Paid
236,236,Bank Transfer,Paid
237,237,Card,Pending
238,238,Bank Transfer,Paid
239,239,Bank Transfer,Paid
240,240,Bank Transfer,Paid
241,241,Cash,Paid
242,242,Bank Transfer,Paid
243,243,Cash,Pending
244,244,Card,Paid
245,245,Cash,Paid
246,246,Bank Transfer,Paid
247,247,Card,Paid
248,248,Bank Transfer,Paid
249,249,Bank Transfer,Paid
250,250,Card,Paid
251,251,Bank Transfer,Pending
252,252,Cash,Pending
253,253,Card,Paid
254,254,Card,Paid
255,255,Card,Pending
256,256,Bank Transfer,Paid
257,257,Bank Transfer,Refunded
258,258,Card,Paid
259,259,Cash,Paid
260,260,Bank Transfer,Paid
261,261,Bank Transfer,Paid
262,262,Bank Transfer,Paid
263,263,Cash,Paid
264,264,Bank Transfer,Paid
265,265,Bank Transfer,Paid
266,266,Cash,Paid
267,267,Cash,Paid
268,268,Bank Transfer,Paid
269,269,Card,Paid
270,270,Card,Paid
271,271,Cash,Paid
272,272,Bank Transfer,Paid
273,273,Cash,Refunded
274,274,Cash,Paid
275,275,Card,Paid
276,276,Cash,Paid
277,277,Cash,Paid
278,278,Bank Transfer,Paid
279,279,Bank Transfer,Paid
280,280,Cash,Paid
281,281,Cash,Paid
282,282,Bank Transfer,Paid
283,283,Card,Paid
284,284,Bank Transfer,Paid
285,285,Bank Transfer,Paid
286,286,Bank Transfer,Paid
287,287,Bank Transfer,Paid
288,288,Bank Transfer,Paid
289,289,Card,Paid
290,290,Bank Transfer,Paid
291,291,Bank Transfer,Paid
292,292,Card,Paid
293,293,Cash,Paid
294,294,Card,Paid
295,295,Bank Transfer,Paid
296,296,Cash,Pending
297,297,Card,Pending
298,298,Cash,Paid
299,299,Card,Paid
300,300,Card,Paid
301,301,Cash,Refunded
302,302,Cash,Paid
303,303,Cash,Paid
304,304,Cash,Paid
305,305,Bank Transfer,Paid
306,306,Card,Paid
307,307,Bank Transfer,Paid
308,308,Card,Paid
309,309,Bank Transfer,Paid
310,310,Bank Transfer,Pending
311,311,Card,Pending
312,312,Bank Transfer,Paid
313,313,Cash,Paid
314,314,Cash,Paid
315,315,Bank Transfer,Paid
316,316,Bank Transfer,Paid
317,317,Card,Paid
318,318,Card,Pending
319,319,Bank Transfer,Paid
320,320,Card,Paid
321,321,Cash,Paid
322,322,Cash,Paid
323,323,Cash,Paid
324,324,Card,Paid
325,325,Card,Paid
326,326,Card,Paid
327,327,Card,Paid
328,328,Bank Transfer,Paid
329,329,Bank Transfer,Paid
330,330,Bank Transfer,Paid
331,331,Bank Transfer,Paid
332,332,Cash,Paid
333,333,Card,Paid
334,334,Cash,Paid
335,335,Card,Paid
336,336,Bank Transfer,Paid
337,337,Cash,Paid
338,338,Card,Paid
339,339,Bank Transfer,Paid
340,340,Card,Refunded
341,341,Card,Paid
342,342,Bank Transfer,Pending
343,343,Cash,Paid
344,344,Card,Paid
345,345,Bank Transfer,Refunded
346,346,Card,Pending
347,347,Card,Paid
348,348,Card,Paid
349,349,Cash,Paid
350,350,Cash,Paid
351,351,Cash,Paid
352,352,Cash,Paid
353,353,Bank Transfer,Paid
354,354,Cash,Paid
355,355,Card,Paid
356,356,Bank Transfer,Paid
357,357,Card,Paid
358,358,Cash,Paid
359,359,Card,Paid
360,360,Card,Paid
361,361,Card,Paid
362,362,Card,Paid
363,363,Cash,Paid
364,364,Card,Refunded
365,365,Card,Paid
366,366,Card,Paid
367,367,Card,Paid
368,368,Cash,Paid
369,369,Card,Paid
370,370,Bank Transfer,Pending
371,371,Bank Transfer,Paid
372,372,Card,Paid
373,373,Card,Paid
374,374,Cash,Paid
375,375,Bank Transfer,Paid
376,376,Cash,Paid
377,377,Card,Paid
378,378,Bank Transfer,Paid
379,379,Bank Transfer,Pending
380,380,Cash,Paid
381,381,Card,Paid
382,382,Bank Transfer,Pending
383,383,Cash,Paid
384,384,Bank Transfer,Paid
385,385,Card,Refunded
386,386,Card,Refunded
387,387,Card,Paid
388,388,Cash,Paid
389,389,Card,Paid
390,390,Cash,Paid
391,391,Bank Transfer,Paid
392,392,Card,Paid
393,393,Cash,Paid
394,394,Cash,Paid
395,395,Cash,Paid
396,396,Card,Paid
397,397,Cash,Paid
398,398,Card,Pending
399,399,Card,Paid
400,400,Bank Transfer,Paid
401,401,Bank Transfer,Paid
402,402,Card,Paid
403,403,Bank Transfer,Paid
404,404,Cash,Paid
405,405,Card,Paid
406,406,Bank Transfer,Pending
407,407,Cash,Paid
408,408,Card,Paid
409,409,Cash,Paid
410,410,Card,Paid
411,411,Bank Transfer,Paid
412,412,Cash,Pending
413,413,Bank Transfer,Paid
414,414,Cash,Paid
415,415,Cash,Paid
416,416,Cash,Paid
417,417,Cash,Paid
418,418,Bank Transfer,Paid
419,419,Cash,Paid
420,420,Bank Transfer,Paid
421,421,Cash,Paid
422,422,Card,Paid
423,423,Card,Paid
424,424,Cash,Paid
425,425,Card,Paid
426,426,Cash,Paid
427,427,Bank Transfer,Paid
428,428,Card,Paid
429,429,Cash,Paid
430,430,Cash,Paid
431,431,Bank Transfer,Pending
432,432,Bank Transfer,Paid
433,433,Cash,Paid
434,434,Cash,Paid
435,435,Cash,Refunded
436,436,Cash,Paid
437,437,Cash,Paid
438,438,Cash,Paid
439,439,Bank Transfer,Paid
440,440,Card,Paid
441,441,Cash,Paid
442,442,Cash,Paid
443,443,Bank Transfer,Paid
444,444,Card,Paid
445,445,Bank Transfer,Paid
446,446,Bank Transfer,Paid
447,447,Cash,Paid
448,448,Cash,Paid
449,449,Bank Transfer,Paid
450,450,Cash,Paid
451,451,Cash,Paid
452,452,Cash,Paid
453,453,Card,Paid
454,454,Card,Paid
455,455,Cash,Paid
456,456,Bank Transfer,Paid
457,457,Card,Paid
458,458,Bank Transfer,Refunded
459,459,Cash,Paid
460,460,Bank Transfer,Paid
461,461,Bank Transfer,Paid
462,462,Card,Paid
463,463,Bank Transfer,Refunded
464,464,Bank Transfer,Paid
465,465,Card,Paid
466,466,Cash,Paid
467,467,Bank Transfer,Paid
468,468,Cash,Paid
469,469,Cash,Paid
470,470,Cash,Pending
471,471,Card,Paid
472,472,Cash,Paid
473,473,Bank Transfer,Paid
474,474,Cash,Paid
475,475,Cash,Pending
476,476,Cash,Paid
477,477,Bank Transfer,Paid
478,478,Cash,Paid
479,479,Cash,Paid
480,480,Cash,Paid
481,481,Card,Paid
482,482,Bank Transfer,Paid
483,483,Card,Paid
484,484,Bank Transfer,Pending
485,485,Cash,Paid
486,486,Bank Transfer,Paid
487,487,Bank Transfer,Paid
488,488,Bank Transfer,Paid
489,489,Bank Transfer,Paid
490,490,Card,Paid
491,491,Bank Transfer,Paid
492,492,Card,Paid
493,493,Card,Paid
494,494,Cash,Paid
495,495,Bank Transfer,Paid
496,496,Cash,Paid
497,497,Bank Transfer,Paid
498,498,Card,Paid
499,499,Card,Pending
500,500,Card,Paid
501,501,Bank Transfer,Paid
502,502,Bank Transfer,Paid
503,503,Bank Transfer,Paid
504,504,Bank Transfer,Paid
505,505,Bank Transfer,Paid
506,506,Cash,Paid
507,507,Bank Transfer,Paid
508,508,Cash,Paid
509,509,Bank Transfer,Paid
510,510,Bank Transfer,Paid
511,511,Bank Transfer,Paid
512,512,Bank Transfer,Paid
513,513,Card,Paid
514,514,Card,Paid
515,515,Cash,Paid
516,516,Cash,Paid
517,517,Bank Transfer,Paid
518,518,Bank Transfer,Paid
519,519,Bank Transfer,Paid
520,520,Bank Transfer,Paid
521,521,Card,Paid
522,522,Cash,Paid
523,523,Cash,Paid
524,524,Cash,Paid
525,525,Card,Paid
526,526,Bank Transfer,Paid
527,527,Card,Paid
528,528,Card,Paid
529,529,Cash,Paid
530,530,Card,Paid
531,531,Cash,Paid
532,532,Card,Refunded
533,533,Cash,Refunded
534,534,Cash,Paid
535,535,Bank Transfer,Refunded
536,536,Cash,Paid
537,537,Card,Paid
538,538,Cash,Paid
539,539,Card,Paid
540,540,Cash,Paid
541,541,Bank Transfer,Paid
542,542,Bank Transfer,Refunded
543,543,Card,Paid
544,544,Cash,Paid
545,545,Card,Paid
546,546,Bank Transfer,Paid
547,547,Card,Paid
548,548,Card,Paid
549,549,Cash,Pending
550,550,Bank Transfer,Refunded
551,551,Bank Transfer,Paid
552,552,Cash,Paid
553,553,Cash,Paid
554,554,Cash,Paid
555,555,Bank Transfer,Paid
556,556,Bank Transfer,Paid
557,557,Cash,Paid
558,558,Card,Paid
559,559,Bank Transfer,Paid
560,560,Cash,Paid
561,561,Cash,Paid
562,562,Card,Paid
563,563,Cash,Paid
564,564,Card,Paid
565,565,Card,Paid
566,566,Bank Transfer,Paid
567,567,Cash,Paid
568,568,Bank Transfer,Paid
569,569,Bank Transfer,Paid
570,570,Bank Transfer,Paid
571,571,Cash,Paid
572,572,Cash,Paid
573,573,Cash,Paid
574,574,Bank Transfer,Paid
575,575,Card,Paid
576,576,Bank Transfer,Pending
577,577,Card,Paid
578,578,Cash,Paid
579,579,Cash,Paid
580,580,Bank Transfer,Pending
581,581,Card,Paid
582,582,Cash,Paid
583,583,Cash,Paid
584,584,Bank Transfer,Paid
585,585,Bank Transfer,Paid
586,586,Bank Transfer,Paid
587,587,Card,Paid
588,588,Card,Paid
589,589,Cash,Paid
590,590,Bank Transfer,Paid
591,591,Cash,Paid
592,592,Card,Paid
593,593,Cash,Pending
594,594,Cash,Paid
595,595,Bank Transfer,Refunded
596,596,Cash,Paid
597,597,Bank Transfer,Paid
598,598,Cash,Paid
599,599,Cash,Paid
600,600,Card,Paid
601,601,Card,Paid
602,602,Cash,Paid
603,603,Cash,Paid
604,604,Bank Transfer,Paid
605,605,Card,Refunded
606,606,Card,Pending
607,607,Cash,Paid
608,608,Bank Transfer,Paid
609,609,Card,Paid
610,610,Cash,Paid
611,611,Cash,Paid
612,612,Cash,Paid
613,613,Cash,Paid
614,614,Cash,Paid
615,615,Card,Paid
616,616,Card,Paid
617,617,Bank Transfer,Paid
618,618,Cash,Paid
619,619,Bank Transfer,Paid
620,620,Cash,Paid
621,621,Cash,Pending
622,622,Cash,Paid
623,623,Bank Transfer,Paid
624,624,Cash,Paid
625,625,Bank Transfer,Paid
626,626,Card,Paid
627,627,Cash,Paid
628,628,Bank Transfer,Pending
629,629,Card,Paid
630,630,Cash,Paid
631,631,Card,Paid
632,632,Cash,Paid
633,633,Bank Transfer,Paid
634,634,Cash,Pending
635,635,Cash,Paid
636,636,Bank Transfer,Paid
637,637,Bank Transfer,Pending
638,638,Bank Transfer,Paid
639,639,Cash,Paid
640,640,Card,Paid
641,641,Bank Transfer,Paid
642,642,Card,Paid
643,643,Bank Transfer,Paid
644,644,Bank Transfer,Paid
645,645,Cash,Paid
646,646,Bank Transfer,Paid
647,647,Card,Pending
648,648,Cash,Paid
649,649,Bank Transfer,Paid
650,650,Card,Paid
651,651,Cash,Paid
652,652,Card,Paid
653,653,Cash,Paid
654,654,Cash,Paid
655,655,Cash,Paid
656,656,Bank Transfer,Paid
657,657,Cash,Paid
658,658,Bank Transfer,Paid
659,659,Bank Transfer,Paid
660,660,Bank Transfer,Paid
661,661,Bank Transfer,Paid
662,662,Cash,Paid
663,663,Bank Transfer,Paid
664,664,Card,Paid
665,665,Card,Paid
666,666,Cash,Pending
667,667,Bank Transfer,Paid
668,668,Card,Paid
669,669,Card,Paid
670,670,Bank Transfer,Paid
671,671,Bank Transfer,Paid
672,672,Cash,Paid
673,673,Card,Paid
674,674,Cash,Pending
675,675,Card,Paid
676,676,Bank Transfer,Pending
677,677,Card,Paid
678,678,Card,Paid
679,679,Card,Paid
680,680,Bank Transfer,Paid
681,681,Bank Transfer,Paid
682,682,Card,Paid
683,683,Card,Paid
684,684,Bank Transfer,Pending
685,685,Bank Transfer,Paid
686,686,Bank Transfer,Paid
687,687,Card,Paid
688,688,Cash,Pending
689,689,Cash,Pending
690,690,Bank Transfer,Paid
691,691,Cash,Paid
692,692,Card,Paid
693,693,Cash,Pending
694,694,Cash,Paid
695,695,Cash,Paid
696,696,Bank Transfer,Paid
697,697,Card,Paid
698,698,Bank Transfer,Paid
699,699,Cash,Paid
700,700,Bank Transfer,Refunded
701,701,Card,Paid
702,702,Card,Paid
703,703,Card,Paid
704,704,Card,Paid
705,705,Cash,Paid
706,706,Cash,Refunded
707,707,Cash,Paid
708,708,Cash,Refunded
709,709,Cash,Paid
710,710,Bank Transfer,Paid
711,711,Card,Paid
712,712,Cash,Paid
713,713,Card,Paid
714,714,Card,Paid
715,715,Cash,Paid
716,716,Cash,Paid
717,717,Card,Paid
718,718,Card,Refunded
719,719,Card,Paid
720,720,Bank Transfer,Pending
721,721,Bank Transfer,Paid
722,722,Card,Paid
723,723,Bank Transfer,Paid
724,724,Card,Paid
725,725,Card,Paid
726,726,Cash,Pending
727,727,Card,Paid
728,728,Cash,Paid
729,729,Cash,Pending
730,730,Card,Paid
731,731,Bank Transfer,Paid
732,732,Card,Paid
733,733,Card,Paid
734,734,Bank Transfer,Paid
735,735,Cash,Paid
736,736,Bank Transfer,Paid
737,737,Card,Paid
738,738,Card,Paid
739,739,Bank Transfer,Paid
740,740,Bank Transfer,Pending
741,741,Bank Transfer,Paid
742,742,Cash,Paid
743,743,Bank Transfer,Pending
744,744,Card,Paid
745,745,Bank Transfer,Refunded
746,746,Card,Paid
747,747,Cash,Paid
748,748,Cash,Paid
749,749,Bank Transfer,Paid
750,750,Card,Paid
751,751,Cash,Paid
752,752,Bank Transfer,Paid
753,753,Cash,Paid
754,754,Bank Transfer,Paid
755,755,Card,Paid
756,756,Bank Transfer,Paid
757,757,Card,Paid
758,758,Cash,Paid
759,759,Card,Paid
760,760,Card,Pending
761,761,Cash,Pending
762,762,Card,Paid
763,763,Card,Refunded
764,764,Bank Transfer,Pending
765,765,Card,Paid
766,766,Bank Transfer,Paid
767,767,Card,Paid
768,768,Cash,Paid
769,769,Card,Paid
770,770,Card,Paid
771,771,Card,Pending
772,772,Bank Transfer,Paid
773,773,Cash,Paid
774,774,Cash,Paid
775,775,Card,Paid
776,776,Card,Paid
777,777,Bank Transfer,Paid
778,778,Cash,Pending
779,779,Card,Paid
780,780,Card,Paid
781,781,Cash,Paid
782,782,Card,Pending
783,783,Card,Paid
784,784,Cash,Paid
785,785,Bank Transfer,Paid
786,786,Card,Paid
787,787,Card,Paid
788,788,Cash,Pending
789,789,Cash,Pending
790,790,Bank Transfer,Pending
791,791,Bank Transfer,Paid
792,792,Card,Paid
793,793,Bank Transfer,Refunded
794,794,Bank Transfer,Paid
795,795,Bank Transfer,Paid
796,796,Card,Paid
797,797,Bank Transfer,Paid
798,798,Bank Transfer,Paid
799,799,Bank Transfer,Pending
800,800,Cash,Refunded
801,801,Bank Transfer,Paid
802,802,Bank Transfer,Paid
803,803,Cash,Paid
804,804,Cash,Paid
805,805,Card,Refunded
806,806,Card,Paid
807,807,Cash,Paid
808,808,Card,Paid
809,809,Bank Transfer,Paid
810,810,Card,Paid
811,811,Bank Transfer,Paid
812,812,Bank Transfer,Paid
813,813,Bank Transfer,Paid
814,814,Cash,Paid
815,815,Card,Pending
816,816,Card,Paid
817,817,Cash,Paid
818,818,Cash,Paid
819,819,Card,Paid
820,820,Cash,Pending
821,821,Cash,Paid
822,822,Bank Transfer,Paid
823,823,Bank Transfer,Pending
824,824,Bank Transfer,Paid
825,825,Cash,Paid
826,826,Cash,Pending
827,827,Bank Transfer,Pending
828,828,Bank Transfer,Paid
829,829,Card,Paid
830,830,Bank Transfer,Paid
831,831,Bank Transfer,Paid
832,832,Card,Pending
833,833,Card,Paid
834,834,Card,Paid
835,835,Card,Paid
836,836,Cash,Paid
837,837,Card,Paid
838,838,Card,Paid
839,839,Cash,Paid
840,840,Card,Refunded
841,841,Card,Refunded
842,842,Card,Paid
843,843,Cash,Refunded
844,844,Bank Transfer,Paid
845,845,Card,Pending
846,846,Card,Paid
847,847,Card,Paid
848,848,Card,Paid
849,849,Cash,Paid
850,850,Bank Transfer,Pending
851,851,Card,Paid
852,852,Card,Refunded
853,853,Cash,Paid
854,854,Bank Transfer,Paid
855,855,Bank Transfer,Pending
856,856,Bank Transfer,Paid
857,857,Card,Paid
858,858,Card,Paid
859,859,Card,Paid
860,860,Cash,Paid
861,861,Cash,Paid
862,862,Cash,Paid
863,863,Card,Paid
864,864,Card,Refunded
865,865,Card,Paid
866,866,Bank Transfer,Paid
867,867,Cash,Paid
868,868,Cash,Paid
869,869,Bank Transfer,Paid
870,870,Bank Transfer,Paid
871,871,Bank Transfer,Paid
872,872,Card,Pending
873,873,Bank Transfer,Paid
874,874,Card,Paid
875,875,Card,Paid
876,876,Cash,Paid
877,877,Bank Transfer,Paid
878,878,Card,Paid
879,879,Card,Paid
880,880,Bank Transfer,Paid
881,881,Card,Paid
882,882,Card,Paid
883,883,Card,Paid
884,884,Bank Transfer,Paid
885,885,Card,Paid
886,886,Cash,Paid
887,887,Bank Transfer,Paid
888,888,Cash,Paid
889,889,Cash,Paid
890,890,Cash,Paid
891,891,Card,Paid
892,892,Card,Pending
893,893,Cash,Paid
894,894,Cash,Refunded
895,895,Bank Transfer,Paid
896,896,Cash,Paid
897,897,Card,Paid
898,898,Cash,Paid
899,899,Cash,Paid
900,900,Bank Transfer,Paid
901,901,Cash,Paid
902,902,Bank Transfer,Paid
903,903,Bank Transfer,Paid
904,904,Cash,Paid
905,905,Cash,Paid
906,906,Card,Paid
907,907,Card,Paid
908,908,Bank Transfer,Paid
909,909,Bank Transfer,Paid
910,910,Card,Paid
911,911,Bank Transfer,Paid
912,912,Card,Paid
913,913,Bank Transfer,Paid
914,914,Card,Paid
915,915,Card,Paid
916,916,Bank Transfer,Paid
917,917,Bank Transfer,Paid
918,918,Bank Transfer,Pending
919,919,Cash,Paid
920,920,Cash,Refunded
921,921,Bank Transfer,Paid
922,922,Bank Transfer,Paid
923,923,Bank Transfer,Paid
924,924,Bank Transfer,Paid
925,925,Card,Paid
926,926,Cash,Paid
927,927,Bank Transfer,Paid
928,928,Cash,Paid
929,929,Cash,Paid
930,930,Card,Paid
931,931,Bank Transfer,Paid
932,932,Cash,Paid
933,933,Card,Paid
934,934,Bank Transfer,Paid
935,935,Bank Transfer,Paid
936,936,Cash,Paid
937,937,Card,Paid
938,938,Card,Paid
939,939,Card,Paid
940,940,Card,Paid
941,941,Bank Transfer,Paid
942,942,Cash,Paid
943,943,Cash,Pending
944,944,Card,Paid
945,945,Card,Paid
946,946,Card,Paid
947,947,Cash,Paid
948,948,Bank Transfer,Paid
949,949,Bank Transfer,Paid
950,950,Card,Pending
951,951,Bank Transfer,Paid
952,952,Bank Transfer,Paid
953,953,Cash,Paid
954,954,Card,Paid
955,955,Bank Transfer,Paid
956,956,Card,Pending
957,957,Card,Paid
958,958,Bank Transfer,Paid
959,959,Cash,Paid
960,960,Bank Transfer,Paid
961,961,Cash,Paid
962,962,Bank Transfer,Paid
963,963,Card,Paid
964,964,Cash,Paid
965,965,Cash,Paid
966,966,Card,Paid
967,967,Bank Transfer,Paid
968,968,Cash,Paid
969,969,Bank Transfer,Paid
970,970,Bank Transfer,Paid
971,971,Bank Transfer,Paid
972,972,Card,Paid
973,973,Bank Transfer,Paid
974,974,Card,Paid
975,975,Cash,Paid
976,976,Bank Transfer,Paid
977,977,Cash,Paid
978,978,Bank Transfer,Paid
979,979,Cash,Paid
980,980,Card,Paid
981,981,Cash,Paid
982,982,Cash,Pending
983,983,Bank Transfer,Paid
984,984,Bank Transfer,Paid
985,985,Bank Transfer,Paid
986,986,Bank Transfer,Paid
987,987,Card,Paid
988,988,Cash,Paid
989,989,Cash,Paid
990,990,Card,Paid
991,991,Cash,Paid
992,992,Bank Transfer,Pending
993,993,Bank Transfer,Paid
994,994,Bank Transfer,Paid
995,995,Cash,Paid
996,996,Card,Paid
997,997,Card,Paid
998,998,Cash,Paid
999,999,Card,Paid
1000,1000,Card,Paid
1001,1001,Bank Transfer,Refunded
1002,1002,Cash,Paid
1003,1003,Card,Paid
1004,1004,Cash,Paid
1005,1005,Bank Transfer,Paid
1006,1006,Bank Transfer,Paid
1007,1007,Card,Paid
1008,1008,Cash,Pending
1009,1009,Cash,Paid
1010,1010,Bank Transfer,Paid
1011,1011,Bank Transfer,Paid
1012,1012,Bank Transfer,Paid
1013,1013,Card,Paid
1014,1014,Cash,Paid
1015,1015,Card,Paid
1016,1016,Cash,Pending
1017,1017,Bank Transfer,Pending
1018,1018,Card,Paid
1019,1019,Card,Paid
1020,1020,Card,Paid
1021,1021,Bank Transfer,Pending
1022,1022,Card,Paid
1023,1023,Card,Paid
1024,1024,Bank Transfer,Pending
1025,1025,Cash,Paid
1026,1026,Card,Pending
1027,1027,Bank Transfer,Pending
1028,1028,Card,Paid
1029,1029,Card,Pending
1030,1030,Cash,Paid
1031,1031,Bank Transfer,Paid
1032,1032,Cash,Paid
1033,1033,Cash,Paid
1034,1034,Bank Transfer,Paid
1035,1035,Cash,Refunded
1036,1036,Card,Paid
1037,1037,Bank Transfer,Pending
1038,1038,Bank Transfer,Paid
1039,1039,Card,Paid
1040,1040,Card,Paid
1041,1041,Card,Paid
1042,1042,Cash,Paid
1043,1043,Cash,Refunded
1044,1044,Cash,Paid
1045,1045,Cash,Paid
1046,1046,Cash,Paid
1047,1047,Cash,Paid
1048,1048,Bank Transfer,Pending
1049,1049,Bank Transfer,Paid
1050,1050,Bank Transfer,Paid
1051,1051,Bank Transfer,Paid
1052,1052,Bank Transfer,Pending
1053,1053,Bank Transfer,Paid
1054,1054,Cash,Paid
1055,1055,Bank Transfer,Paid
1056,1056,Card,Pending
1057,1057,Bank Transfer,Paid
1058,1058,Card,Paid
1059,1059,Card,Paid
